City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.97,97,100,16.58,TF,1715644523
1,inhambane,-23.865,35.3833,23.68,68,85,5.8,MZ,1715644717
2,khandyga,62.6667,135.6,6.77,37,53,2.3,RU,1715644717
3,wailua homesteads,22.0669,-159.378,26.44,83,100,5.66,US,1715644519
4,usinsk,65.9939,57.5281,-3.29,95,100,6.71,RU,1715644559
5,waitangi,-43.9535,-176.5597,12.12,76,68,2.24,NZ,1715644518
6,grytviken,-54.2811,-36.5092,-6.97,76,64,4.51,GS,1715644526
7,adamstown,-25.066,-130.1015,21.13,73,0,1.72,PN,1715644521
8,olonkinbyen,70.9221,-8.7187,0.42,96,100,2.43,SJ,1715644532
9,edinburgh of the seven seas,-37.0676,-12.3116,13.57,57,53,2.21,SH,1715644518
10,port hueneme,34.1478,-119.1951,23.03,82,100,5.14,US,1715644576
11,cabedelo,-6.9811,-34.8339,27.37,82,99,3.21,BR,1715644616
12,bethel,41.3712,-73.414,17.47,71,100,3.09,US,1715644345
13,richards bay,-28.783,32.0377,19.84,89,80,0.86,ZA,1715644382
14,nuuk,64.1835,-51.7216,-0.66,100,100,6.71,GL,1715644533
15,whitehorse,60.7161,-135.0538,7.79,52,100,6.71,CA,1715644546
16,avarua,-21.2078,-159.775,24.03,94,100,3.09,CK,1715644522
17,altamont,42.2068,-121.7372,24.87,28,0,4.12,US,1715644721
18,atafu village,-8.5421,-172.5159,29.42,74,59,5.92,TK,1715644532
19,port isabel,26.0734,-97.2086,32.02,75,100,6.69,US,1715644501
20,invercargill,-46.4,168.35,11.12,81,18,1.79,NZ,1715644545
21,punta arenas,-53.15,-70.9167,4.06,70,0,9.26,CL,1715643975
22,polyarnyy,69.1989,33.4478,1.79,93,97,4.74,RU,1715644426
23,chonchi,-42.6128,-73.8092,3.56,89,3,0.87,CL,1715644536
24,keetmanshoop,-26.5833,18.1333,25.51,19,82,5.14,NA,1715644723
25,pontes e lacerda,-15.2261,-59.3353,23.93,66,2,1.41,BR,1715644723
26,hamilton,39.1834,-84.5333,24.43,51,20,4.63,US,1715644112
27,colonia,50.9333,6.95,17.76,78,0,3.09,DE,1715644307
28,saldanha,-33.0117,17.9442,13.03,61,44,1.96,ZA,1715644724
29,yellowknife,62.456,-114.3525,11.34,72,100,3.6,CA,1715644521
30,albany,42.6001,-73.9662,17.36,66,100,1.15,US,1715644700
31,greymouth,-42.4667,171.2,11.9,74,99,2.9,NZ,1715644725
32,myeik,12.4333,98.6,26.57,81,100,1.83,MM,1715644725
33,utrik,11.2278,169.8474,27.52,81,50,8.3,MH,1715644391
34,santa eulalia,-11.85,-76.6833,8.33,69,41,0.92,PE,1715644725
35,cole harbour,44.6724,-63.4751,9.66,77,13,3.09,CA,1715644725
36,vanino,49.0869,140.2543,7.74,78,55,2.9,RU,1715644726
37,manado,1.487,124.8455,29.43,79,20,1.03,ID,1715644726
38,iqaluit,63.7506,-68.5145,-7.15,63,20,5.14,CA,1715644521
39,belokurikha,51.9959,84.9896,14.36,67,100,2.02,RU,1715644726
40,ancud,-41.8697,-73.8203,5.06,79,8,2.5,CL,1715644386
41,hafar al-batin,28.4328,45.9708,28.32,26,20,5.14,SA,1715644727
42,vernon,50.2581,-119.2691,20.89,51,100,5.36,CA,1715644454
43,ilulissat,69.2167,-51.1,-3.99,93,100,4.12,GL,1715644523
44,afaahiti,-17.75,-149.2833,28.93,75,58,7.99,PF,1715644519
45,rikaze,29.25,88.8833,9.98,43,96,1.94,CN,1715644728
46,udachny,66.4167,112.4,-0.31,71,65,7.64,RU,1715644531
47,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,99,100,2.0,RU,1715644557
48,hawaiian paradise park,19.5933,-154.9731,28.73,78,0,6.69,US,1715644536
49,zeya,53.75,127.2667,7.92,53,100,5.19,RU,1715644729
50,thompson,55.7435,-97.8558,11.09,40,40,2.57,CA,1715644396
51,kabinda,-6.1333,24.4833,20.87,83,98,1.69,CD,1715644729
52,lihue,21.9789,-159.3672,26.77,78,100,5.66,US,1715644406
53,luang namtha,20.9497,101.4011,22.58,90,38,0.32,LA,1715644730
54,hithadhoo,-0.6,73.0833,29.24,73,100,3.5,MV,1715644407
55,ust-tsilma,65.441,52.1498,-6.88,98,66,2.24,RU,1715644396
56,callao,-12.0667,-77.15,24.84,77,0,3.6,PE,1715644312
57,kuzovatovo,53.5468,47.6866,1.52,83,53,1.68,RU,1715644731
58,palikir - national government center,6.9248,158.1611,30.41,74,100,2.06,FM,1715644731
59,an muileann gcearr,53.5333,-7.35,8.71,96,84,1.91,IE,1715644731
60,urangan,-25.3,152.9,21.22,74,3,4.47,AU,1715644732
61,blackmans bay,-43.0167,147.3167,11.4,67,67,1.34,AU,1715644522
62,jamestown,42.097,-79.2353,23.8,38,0,6.17,US,1715644537
63,sitka,57.0531,-135.33,7.94,71,100,9.26,US,1715644732
64,saipan,15.1355,145.701,31.39,66,40,6.69,MP,1715644279
65,mugia,43.1041,-9.2179,12.73,83,76,8.44,ES,1715644733
66,port lincoln,-34.7333,135.8667,15.12,80,97,3.98,AU,1715644537
67,tiksi,71.6872,128.8694,-7.92,92,99,1.31,RU,1715644529
68,kingston,17.997,-76.7936,30.53,74,20,10.8,JM,1715643953
69,port saint john's,-31.6229,29.5448,19.61,90,86,3.81,ZA,1715644557
70,sal rei,16.1833,-22.9167,22.46,80,63,8.3,CV,1715644734
71,potosi,-19.5836,-65.7531,12.07,42,15,1.8,BO,1715644734
72,khorixas,-20.3667,14.9667,22.56,24,62,3.18,NA,1715644735
73,east london,-33.0153,27.9116,18.88,88,84,5.3,ZA,1715644541
74,ribeira grande,38.5167,-28.7,15.99,74,23,4.02,PT,1715644520
75,tindouf,27.6711,-8.1474,28.25,30,0,5.14,DZ,1715644409
76,chibougamau,49.9168,-74.3659,9.79,100,100,3.09,CA,1715644735
77,vorgashor,67.5833,63.95,-5.11,85,93,3.53,RU,1715644554
78,carnarvon,-24.8667,113.6333,22.06,64,3,2.23,AU,1715644736
79,namibe,-15.1961,12.1522,22.01,83,40,0.43,AO,1715644403
80,hermanus,-34.4187,19.2345,14.39,77,36,5.22,ZA,1715644452
81,bamboo flat,11.7,92.7167,27.92,81,100,2.07,IN,1715644737
82,agnibilekrou,7.1344,-3.2047,23.85,96,100,0.92,CI,1715644737
83,tokar,18.4254,37.729,27.76,64,0,6.57,SD,1715644737
84,tolanaro,-25.0319,46.9987,22.04,94,75,6.17,MG,1715644383
85,caburan,5.9181,125.6411,27.25,78,95,3.77,PH,1715644738
86,kinna,57.5073,12.6946,12.96,68,10,1.43,SE,1715644738
87,nasiriyah,31.0521,46.261,26.85,39,2,5.12,IQ,1715644739
88,las heras,-46.5419,-68.9359,1.3,51,73,3.55,AR,1715644739
89,brisas de zicatela,15.8369,-97.0419,30.29,74,75,3.09,MX,1715644418
90,isangel,-19.55,169.2667,27.06,78,75,7.2,VU,1715644739
91,muncar,-8.4333,114.3333,24.9,88,84,1.35,ID,1715644740
92,remire-montjoly,4.9167,-52.2667,25.02,100,100,2.57,GF,1715644544
93,tazovsky,67.4667,78.7,-5.12,93,99,7.39,RU,1715644530
94,balsas,-7.5325,-46.0356,26.87,61,43,2.06,BR,1715644741
95,zaozersk,69.4005,32.4476,2.95,92,98,4.58,RU,1715644741
96,keflavik,64.0049,-22.5624,5.95,81,75,7.72,IS,1715644547
97,kayangel,8.0823,134.7173,28.72,77,37,5.42,PW,1715644742
98,minot air force base,48.4209,-101.3391,23.1,44,0,9.26,US,1715644742
99,new norfolk,-42.7826,147.0587,12.06,59,93,3.35,AU,1715644406
100,kralendijk,12.15,-68.2667,28.99,74,0,8.23,BQ,1715644508
101,macau,22.2006,113.5461,25.4,73,40,6.69,MO,1715644743
102,odacho-oda,35.1833,132.5,12.43,40,0,1.56,JP,1715644743
103,gombong,-7.6072,109.5142,25.78,87,82,1.52,ID,1715644743
104,mumford,5.2618,-0.759,25.61,89,100,2.11,GH,1715644743
105,margaret river,-33.95,115.0667,17.16,40,17,2.98,AU,1715644525
106,mariehamn,60.0973,19.9348,7.68,93,0,0.51,AX,1715644744
107,mwanza,-2.5167,32.9,19.03,88,20,0.0,TZ,1715644744
108,mossel bay,-34.1831,22.146,9.96,83,58,2.01,ZA,1715644744
109,hobyo,5.3505,48.5268,28.47,82,88,7.97,SO,1715644745
110,ames,42.0347,-93.6199,21.34,48,100,3.6,US,1715644745
111,thunder bay,48.4001,-89.3168,12.99,44,40,4.63,CA,1715644545
112,daru,-9.0763,143.2092,27.79,76,84,5.84,PG,1715644408
113,moranbah,-22.0016,148.0466,22.1,55,1,8.02,AU,1715644746
114,'ain benian,36.8028,2.9219,17.03,78,94,2.23,DZ,1715644746
115,sil-li,39.4947,125.4736,18.49,44,40,3.73,KP,1715644746
116,roquetas de mar,36.7642,-2.6148,18.67,88,53,3.83,ES,1715644747
117,mhamid,29.82,-5.72,29.15,12,5,5.4,MA,1715644363
118,sibi,29.5448,67.8764,31.49,11,1,1.67,PK,1715644747
119,kalmunai,7.4167,81.8167,27.3,83,98,1.64,LK,1715644392
120,kaa-khem,51.6833,94.7333,11.89,38,57,2.22,RU,1715644748
121,klyuchi,52.2667,79.1667,13.64,44,39,4.48,RU,1715644527
122,northam,51.0333,-4.2167,12.03,95,100,4.87,GB,1715644419
123,port alfred,-33.5906,26.891,17.88,94,38,2.24,ZA,1715644527
124,ingeniero guillermo n. juarez,-23.9,-61.85,13.64,63,100,3.96,AR,1715644749
125,west island,-12.1568,96.8225,26.99,83,40,5.66,CC,1715644559
126,nelson bay,-32.7167,152.15,18.95,82,13,0.89,AU,1715644749
127,aasiaat,68.7098,-52.8699,-5.46,74,83,7.8,GL,1715644534
128,codrington,-38.2667,141.9667,14.56,60,82,2.91,AU,1715644545
129,ust-nera,64.5667,143.2,-0.65,59,14,2.52,RU,1715644388
130,nuku'alofa,-21.1333,-175.2,26.19,65,75,6.69,TO,1715644559
131,poronaysk,49.2167,143.1167,6.92,72,40,4.56,RU,1715644424
132,crane,31.3974,-102.3501,29.32,16,0,3.43,US,1715644393
133,hlybokaye,55.1382,27.6879,8.2,67,96,2.89,BY,1715644751
134,puerto natales,-51.7236,-72.4875,-0.5,93,51,2.32,CL,1715644304
135,longyearbyen,78.2186,15.6401,-2.09,80,0,2.06,SJ,1715644517
136,tourlaville,49.6383,-1.5664,12.68,100,100,5.14,FR,1715644752
137,isafjordur,66.0755,-23.124,0.19,77,15,1.37,IS,1715644540
138,port mathurin,-19.6833,63.4167,24.98,62,6,5.43,MU,1715644550
139,fort st. john,56.2499,-120.8529,15.94,25,75,9.77,CA,1715644541
140,porangatu,-13.4408,-49.1486,24.91,52,0,1.25,BR,1715644753
141,sassandra,4.95,-6.0833,27.0,86,98,2.85,CI,1715644753
142,kapuskasing,49.4169,-82.4331,8.05,66,100,6.69,CA,1715644409
143,itoman,26.1247,127.6694,23.94,80,75,3.6,JP,1715644753
144,myingyan,21.4667,95.3833,33.01,42,2,4.14,MM,1715644754
145,kristiansund,63.1115,7.732,10.36,87,48,1.54,NO,1715644754
146,san luis jilotepeque,14.65,-89.7333,32.24,59,75,2.74,GT,1715644754
147,suoyarvi,62.0833,32.35,5.58,91,100,1.88,RU,1715644755
148,bako,5.7833,36.5667,18.15,88,81,2.06,ET,1715644755
149,mujiayingzi,42.1167,118.7833,14.99,45,74,6.72,CN,1715644755
150,newman,37.3138,-121.0208,31.13,25,7,5.81,US,1715644159
151,ulanhot,46.0833,122.0833,11.59,60,100,7.03,CN,1715644558
152,coquimbo,-29.9533,-71.3436,12.85,82,0,2.06,CL,1715644336
153,semporna,4.4818,118.6112,29.23,72,35,0.91,MY,1715644756
154,ar ruways,24.1103,52.7306,31.58,29,0,6.08,AE,1715644756
155,bredasdorp,-34.5322,20.0403,12.92,96,54,1.91,ZA,1715644533
156,saint croix,17.7397,-64.7388,26.09,86,9,0.89,VI,1715644757
157,progreso,21.2833,-89.6667,40.06,78,96,5.18,MX,1715644757
158,saint-gilles-croix-de-vie,46.6833,-1.9333,13.55,81,100,9.41,FR,1715644757
159,mount gambier,-37.8333,140.7667,14.23,57,25,0.7,AU,1715644378
160,opatow,50.8006,21.4254,10.84,51,5,1.39,PL,1715644758
